Mona Lisa, 1887, Leonardo Da Vinci, Italia, true, Andres, Bogota, 7000.0
El Grito, 1893, Edvard Munch, Noruega, true, Lorena, Madrid, 9500.0
Noche Estrellada, 1889, Vincent Van Gogh, Francia, true, Carlos, París, 12000.0
El Jardín de las Delicias, 1500, Hieronymus Bosch, España, true, Carmen, Sevilla, 15000.0
Guernica, 1937, Pablo Picasso, España, true, Jorge, Barcelona, 25000.0
La última cena, 1498, Leonardo Da Vinci, Italia, true, Isabel, Roma, 18000.0
La libertad guiando al pueblo, 1830, Eugène Delacroix, Francia, true, Gabriela, Marsella, 11000.0
La persistencia de la memoria, 1931, Salvador Dalí, España, true, Fernando, Valencia, 13500.0
El beso, 1907-1908, Gustav Klimt, Austria, true, Lorena, Viena, 16500.0
La joven de la perla, 1665, Johannes Vermeer, Países Bajos, true, Jose, Ámsterdam, 14000.0
El hombre de Vitruvio, 1490, Leonardo Da Vinci, Italia, true, Andres, Milán, 9000.0
Los Girasoles, 1888, Vincent Van Gogh, Francia, true, Lucas, Nice, 20000.0
Las señoritas de Avignon, 1907, Pablo Picasso, España, true, Laura, Madrid, 22000.0
El nacimiento de Venus, 1486, Sandro Botticelli, Italia, true, Daniela, Florencia, 30000.0
El David, 1504, Michelangelo Buonarroti, Italia, true, Tomás, Venecia, 50000.0
La creación de Adán, 1512, Michelangelo Buonarroti, Italia, true, Sofia, Roma, 33000.0
La noche, 1882, Edvard Munch, Noruega, true, Ricardo, Oslo, 7000.0
Los amantes, 1928, René Magritte, Bélgica, true, Elena, Bruselas, 12300.0
El sonambulista, 1955, Paul Delvaux, Bélgica, true, Valeria, Lieja, 9800.0
La torre de Babel, 1563, Pieter Bruegel el Viejo, Países Bajos, true, Mónica, Rotterdam, 15600.0
Los tres músicos, 1921, Pablo Picasso, España, true, Esteban, Zaragoza, 17500.0
La danza, 1910, Henri Matisse, Francia, true, Carmen, Lyon, 14500.0
Olympia, 1863, Édouard Manet, Francia, true, Fernando, París, 25000.0
Impresión, sol naciente, 1872, Claude Monet, Francia, true, Gabriela, Marsella, 21000.0
La gran ola de Kanagawa, 1831, Katsushika Hokusai, Japón, true, Nicolás, Tokio, 8500.0
La habitación de Van Gogh en Arlés, 1889, Vincent Van Gogh, Francia, true, Patricia, Arlés, 9500.0
El caballero de la mano en el pecho, 1580, El Greco, España, true, Isabel, Toledo, 12500.0
Saturno devorando a su hijo, 1823, Francisco de Goya, España, true, Jorge, Madrid, 29000.0
El almuerzo de los remeros, 1881, Pierre-Auguste Renoir, Francia, true, Lorena, París, 16700.0
Vista de Toledo, 1599, El Greco, España, true, Carlos, Toledo, 13200.0
Autorretrato con sombrero de fieltro, 1887, Vincent Van Gogh, Francia, true, Laura, París, 8800.0
El cazador de pájaros, 1568, Pieter Bruegel el Viejo, Países Bajos, true, Tomás, Amberes, 19400.0
Muchacha con turbante, 1665, Johannes Vermeer, Países Bajos, true, Daniela, La Haya, 27500.0
Cena en Emmaús, 1601, Caravaggio, Italia, true, Sofia, Nápoles, 31500.0
La tempestad, 1508, Giorgione, Italia, true, Ricardo, Venecia, 23000.0
Amantes de Vence, 1954, Marc Chagall, Francia, true, Elena, Niza, 14500.0
El matrimonio Arnolfini, 1434, Jan van Eyck, Bélgica, true, Valeria, Brujas, 22000.0
Los embajadores, 1533, Hans Holbein el Joven, Inglaterra, true, Mónica, Londres, 31000.0
La masacre de los inocentes, 1611, Peter Paul Rubens, Bélgica, true, Esteban, Amberes, 34000.0
El festín de Baltasar, 1635, Rembrandt, Países Bajos, true, Nicolás, Ámsterdam, 36000.0
Café nocturno, 1888, Vincent Van Gogh, Francia, true, Patricia, París, 19500.0
La batalla de San Romano, 1456, Paolo Uccello, Italia, true, Isabel, Florencia, 24000.0
El caminante sobre el mar de nubes, 1818, Caspar David Friedrich, Alemania, true, Jorge, Berlín, 17500.0
La dama del armiño, 1490, Leonardo Da Vinci, Italia, true, Carlos, Cracovia, 26000.0
La Venus del espejo, 1647-1651, Diego Velázquez, España, true, Laura, Madrid, 32000.0
La Anunciación, 1472, Leonardo Da Vinci, Italia, true, Tomás, Milán, 18000.0
El jardín de las delicias, 1500, Hieronymus Bosch, España, true, Daniela, Sevilla, 35000.0

